congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
115,house,B001281,Beatty,OH,3,D,92,0.1956521739130435,0.2060699,-38.4
116,house,B001281,Beatty,OH,3,D,22,0,1.4081e-4,-38.4
0,house,B001282,Barr,KY,6,Republican,118,0.9661016949152542,0.88315756,15.3
115,house,B001282,Barr,KY,6,R,96,0.96875,0.90105912,15.3
116,house,B001282,Barr,KY,6,R,22,0.9545454545454546,0.8050417,15.3
0,house,B001283,Bridenstine,OK,1,Republican,52,0.9423076923076923,0.95711151,28.7
115,house,B001283,Bridenstine,OK,1,R,52,0.9423076923076923,0.95711151,28.7
0,house,B001284,Brooks,IN,5,Republican,118,0.9830508474576272,0.8379508,11.8
115,house,B001284,Brooks,IN,5,R,96,0.9895833333333334,0.87293384,11.8
116,house,B001284,Brooks,IN,5,R,22,0.9545454545454546,0.68529754,11.8
0,house,B001285,Brownley,CA,26,Democrat,114,0.2631578947368421,0.24305458,-21.9
115,house,B001285,Brownley,CA,26,D,92,0.32608695652173914,0.30034879,-21.9
116,house,B001285,Brownley,CA,26,D,22,0,0.0034606,-21.9
0,house,B001286,Bustos,IL,17,Democrat,117,0.29914529914529914,0.60721917,0.7
115,house,B001286,Bustos,IL,17,D,95,0.3684210526315789,0.70528738,0.7
116,house,B001286,Bustos,IL,17,D,22,0,0.1837428,0.7
0,house,B001287,Bera,CA,7,Democrat,118,0.3135593220338983,0.37569931,-11.4
115,house,B001287,Bera,CA,7,D,96,0.3854166666666667,0.45691205,-11.4
116,house,B001287,Bera,CA,7,D,22,0,0.02131645,-11.4
0,house,B001289,Byrne,AL,1,Republican,118,0.9661016949152542,0.94721963,29.4
115,house,B001289,Byrne,AL,1,R,96,0.9583333333333334,0.9458395,29.4
116,house,B001289,Byrne,AL,1,R,22,1,0.95324203,29.4
0,house,B001290,Brat,VA,7,Republican,95,0.8842105263157894,0.80768775,6.5
115,house,B001290,Brat,VA,7,R,95,0.8842105263157894,0.80768775,6.5
0,house,B001291,Babin,TX,36,Republican,115,0.9565217391304348,0.95623057,46.8
115,house,B001291,Babin,TX,36,R,94,0.9468085106382979,0.95172585,46.8
116,house,B001291,Babin,TX,36,R,21,1,0.97639458,46.8
0,house,B001292,Beyer,VA,8,Democrat,113,0.1592920353982301,0.13619212,-52.6
115,house,B001292,Beyer,VA,8,D,91,0.1978021978021978,0.16911584,-52.6
116,house,B001292,Beyer,VA,8,D,22,0,7.67e-6,-52.6
0,house,B001293,Bishop,MI,8,Republican,95,0.9789473684210527,0.81057761,6.7
115,house,B001293,Bishop,MI,8,R,95,0.9789473684210527,0.81057761,6.7
0,house,B001294,Blum,IA,1,Republican,93,0.9247311827956989,0.76057766,3.5
115,house,B001294,Blum,IA,1,R,93,0.9247311827956989,0.76057766,3.5
0,house,B001295,Bost,IL,12,Republican,117,0.9829059829059829,0.87729115,14.8
115,house,B001295,Bost,IL,12,R,95,0.9894736842105263,0.89727638,14.8
116,house,B001295,Bost,IL,12,R,22,0.9545454545454546,0.7909913,14.8
0,house,B001296,Boyle,PA,2,Democrat,116,0.16379310344827586,0.18527338,-48
115,house,B001296,Boyle,PA,13,D,94,0.20212765957446807,0.22863067,-33.6
116,house,B001296,Boyle,PA,2,D,22,0,1.953e-5,-48
0,house,B001297,Buck,CO,4,Republican,115,0.8521739130434782,0.9329474,23.1
115,house,B001297,Buck,CO,4,R,94,0.851063829787234,0.93541675,23.1
116,house,B001297,Buck,CO,4,R,21,0.8571428571428571,0.92189413,23.1
0,house,B001298,Bacon,NE,2,Republican,118,0.9745762711864406,0.64343716,2.2
115,house,B001298,Bacon,NE,2,R,96,0.9791666666666666,0.73689927,2.2
116,house,B001298,Bacon,NE,2,R,22,0.9545454545454546,0.23560251,2.2
0,house,B001299,Banks,IN,3,Republican,118,0.9491525423728814,0.95243377,35
115,house,B001299,Banks,IN,3,R,96,0.9479166666666666,0.94963284,35
116,house,B001299,Banks,IN,3,R,22,0.9545454545454546,0.96465601,35
0,house,B001300,Barragán,CA,44,Democrat,116,0.13793103448275862,0.12254777,-70.7
115,house,B001300,Barragán,CA,44,D,94,0.1702127659574468,0.15122911,-70.7
116,house,B001300,Barragán,CA,44,D,22,0,2.5e-7,-70.7
0,house,B001301,Bergman,MI,1,Republican,117,0.9658119658119658,0.92553163,21.3
115,house,B001301,Bergman,MI,1,R,95,0.968421052631579,0.92923049,21.3
116,house,B001301,Bergman,MI,1,R,22,0.9545454545454546,0.90955927,21.3
0,house,B001302,Biggs,AZ,5,Republican,118,0.7627118644067796,0.92513939,21.1
115,house,B001302,Biggs,AZ,5,R,96,0.7291666666666666,0.92917335,21.1
116,house,B001302,Biggs,AZ,5,R,22,0.9090909090909091,0.90753667,21.1
0,house,B001303,Blunt Rochester,DE,0,Democrat,114,0.21929824561403508,0.36661792,-11.43051247
115,house,B001303,Blunt Rochester,DE,0,D,92,0.2717391304347826,0.44921655,-11.43051247
116,house,B001303,Blunt Rochester,DE,0,D,22,0,0.02120548,-11.43051247
0,house,B001304,Brown,MD,4,Democrat,114,0.15789473684210525,0.12895889,-57.5
115,house,B001304,Brown,MD,4,D,92,0.1956521739130435,0.15979619,-57.5
116,house,B001304,Brown,MD,4,D,22,0,2.92e-6,-57.5
0,house,B001305,Budd,NC,13,Republican,116,0.9051724137931034,0.80512547,9.4
115,house,B001305,Budd,NC,13,R,95,0.8947368421052632,0.85624197,9.4
116,house,B001305,Budd,NC,13,R,21,0.9523809523809523,0.57388412,9.4
0,house,B001306,Balderson,OH,12,Republican,28,0.9642857142857143,0.71734583,11.3
115,house,B001306,Balderson,OH,12,R,6,1,0.91223178,11.3
116,house,B001306,Balderson,OH,12,R,22,0.9545454545454546,0.66419512,11.3
0,house,B001307,Baird,IN,4,Republican,22,0.9545454545454546,0.96322193,34.1
116,house,B001307,Baird,IN,4,R,22,0.9545454545454546,0.96322193,34.1
0,house,B001308,Brindisi,NY,22,Democrat,22,0.045454545454545456,0.81038688,15.5
116,house,B001308,Brindisi,NY,22,D,22,0.045454545454545456,0.81038688,15.5
0,house,B001309,Burchett,TN,2,Republican,22,0.9545454545454546,0.96525921,35.4
116,house,B001309,Burchett,TN,2,R,22,0.9545454545454546,0.96525921,35.4
0,house,C000059,Calvert,CA,42,Republican,118,0.9830508474576272,0.84101016,12
115,house,C000059,Calvert,CA,42,R,96,0.9895833333333334,0.87482029,12
116,house,C000059,Calvert,CA,42,R,22,0.9545454545454546,0.69347507,12
0,house,C000266,Chabot,OH,1,Republican,118,0.9491525423728814,0.74051596,6.6
115,house,C000266,Chabot,OH,1,R,96,0.9479166666666666,0.81042926,6.6
116,house,C000266,Chabot,OH,1,R,22,0.9545454545454546,0.43543975,6.6
0,house,C000537,Clyburn,SC,6,Democrat,110,0.15454545454545454,0.17535478,-36.5
115,house,C000537,Clyburn,SC,6,D,88,0.19318181818181818,0.21914168,-36.5
116,house,C000537,Clyburn,SC,6,D,22,0,2.072e-4,-36.5
0,house,C000714,Conyers,MI,13,Democrat,53,0.1320754716981132,0.13287585,-60.7
115,house,C000714,Conyers,MI,13,D,53,0.1320754716981132,0.13287585,-60.7
0,house,C000754,Cooper,TN,5,Democrat,117,0.3162393162393162,0.2791669,-18.4
115,house,C000754,Cooper,TN,5,D,95,0.3894736842105263,0.34232517,-18.4
116,house,C000754,Cooper,TN,5,D,22,0,0.00643801,-18.4
0,house,C000984,Cummings,MD,7,Democrat,91,0.12087912087912088,0.12071341,-55.6
115,house,C000984,Cummings,MD,7,D,69,0.15942028985507245,0.15920039,-55.6
116,house,C000984,Cummings,MD,7,D,22,0,4.22e-6,-55.6
0,house,C001037,Capuano,MA,7,Democrat,91,0.15384615384615385,0.14345325,-72.2
115,house,C001037,Capuano,MA,7,D,91,0.15384615384615385,0.14345325,-72.2
0,house,C001038,Crowley,NY,14,Democrat,88,0.17045454545454544,0.15617876,-57.9
115,house,C001038,Crowley,NY,14,D,88,0.17045454545454544,0.15617876,-57.9
0,house,C001048,Culberson,TX,7,Republican,95,0.9789473684210527,0.66478893,-1.4
115,house,C001048,Culberson,TX,7,R,95,0.9789473684210527,0.66478893,-1.4
0,house,C001049,Clay,MO,1,Democrat,115,0.13043478260869565,0.13707101,-58.2
115,house,C001049,Clay,MO,1,D,94,0.1595744680851064,0.16769266,-58.2
116,house,C001049,Clay,MO,1,D,21,0,2.67e-6,-58.2
0,house,C001051,Carter,TX,31,Republican,112,0.9642857142857143,0.85426406,12.7
115,house,C001051,Carter,TX,31,R,94,0.9680851063829787,0.88017032,12.7
116,house,C001051,Carter,TX,31,R,18,0.9444444444444444,0.71897583,12.7
0,house,C001053,Cole,OK,4,Republican,116,0.9913793103448276,0.95288915,37.4
115,house,C001053,Cole,OK,4,R,94,0.9893617021276596,0.94935012,37.4
116,house,C001053,Cole,OK,4,R,22,1,0.96801048,37.4
0,house,C001055,Case,HI,1,Democrat,22,0,4.5278e-4,-32.6
116,house,C001055,Case,HI,1,D,22,0,4.5278e-4,-32.6
0,house,C001059,Costa,CA,16,Democrat,111,0.3783783783783784,0.23892112,-21.6
115,house,C001059,Costa,CA,16,D,89,0.47191011235955055,0.29707729,-21.6
116,house,C001059,Costa,CA,16,D,22,0,0.00365298,-21.6
0,house,C001061,Cleaver,MO,5,Democrat,112,0.15178571428571427,0.34158412,-13.5
115,house,C001061,Cleaver,MO,5,D,90,0.18888888888888888,0.42143829,-13.5
116,house,C001061,Cleaver,MO,5,D,22,0,0.01490797,-13.5
0,house,C001062,Conaway,TX,11,Republican,118,0.9830508474576272,0.95509807,58.7
115,house,C001062,Conaway,TX,11,R,96,0.9895833333333334,0.94801977,58.7
116,house,C001062,Conaway,TX,11,R,22,0.9545454545454546,0.98598521,58.7
0,house,C001063,Cuellar,TX,28,Democrat,118,0.559322033898305,0.26837663,-19.8
115,house,C001063,Cuellar,TX,28,D,96,0.6875,0.32872556000000003,-19.8
116,house,C001063,Cuellar,TX,28,D,22,0,0.00503586,-19.8
0,house,C001066,Castor,FL,14,Democrat,116,0.1810344827586207,0.28317188,-18.2
115,house,C001066,Castor,FL,14,D,94,0.22340425531914893,0.34788598,-18.2
116,house,C001066,Castor,FL,14,D,22,0,0.00666614,-18.2
0,house,C001067,Clarke,NY,9,Democrat,117,0.08547008547008547,0.12297535,-69.1
115,house,C001067,Clarke,NY,9,D,95,0.10526315789473684,0.15145378,-69.1
116,house,C001067,Clarke,NY,9,D,22,0,3.3e-7,-69.1
0,house,C001068,Cohen,TN,9,Democrat,116,0.14655172413793102,0.13646296,-57.7
115,house,C001068,Cohen,TN,9,D,95,0.17894736842105263,0.16662781,-57.7
116,house,C001068,Cohen,TN,9,D,21,0,2.94e-6,-57.7
0,house,C001069,Courtney,CT,2,Democrat,116,0.21551724137931033,0.5287785,-2.9
115,house,C001069,Courtney,CT,2,D,94,0.26595744680851063,0.62987701,-2.9
116,house,C001069,Courtney,CT,2,D,22,0,0.09681213,-2.9
0,house,C001072,Carson,IN,7,Democrat,111,0.14414414414414414,0.23822138,-22.8
115,house,C001072,Carson,IN,7,D,89,0.1797752808988764,0.29638105,-22.8
116,house,C001072,Carson,IN,7,D,22,0,0.00293908,-22.8
0,house,C001076,Chaffetz,UT,3,Republican,31,1,0.98637674,23.9
115,house,C001076,Chaffetz,UT,3,R,31,1,0.98637674,23.9
0,house,C001077,Coffman,CO,6,Republican,96,0.9479166666666666,0.50597163,-8.9
115,house,C001077,Coffman,CO,6,R,96,0.9479166666666666,0.50597163,-8.9
0,house,C001078,Connolly,VA,11,Democrat,117,0.21367521367521367,0.16699618,-39.4
115,house,C001078,Connolly,VA,11,D,95,0.2631578947368421,0.2056424,-39.4
116,house,C001078,Connolly,VA,11,D,22,0,1.1478e-4,-39.4
0,house,C001080,Chu,CA,27,Democrat,116,0.1206896551724138,0.17314809,-37.6
115,house,C001080,Chu,CA,27,D,95,0.14736842105263157,0.21138455,-37.6
116,house,C001080,Chu,CA,27,D,21,0,1.7363e-4,-37.6
0,house,C001084,Cicilline,RI,1,Democrat,116,0.1724137931034483,0.22254213,-25.6
115,house,C001084,Cicilline,RI,1,D,95,0.21052631578947367,0.27136301,-25.6
116,house,C001084,Cicilline,RI,1,D,21,0,0.00168575,-25.6
0,house,C001087,Crawford,AR,1,Republican,116,0.9741379310344828,0.95155723,34.8
115,house,C001087,Crawford,AR,1,R,95,0.9789473684210527,0.94910508,34.8
116,house,C001087,Crawford,AR,1,R,21,0.9523809523809523,0.96265027,34.8
0,house,C001090,Cartwright,PA,8,Democrat,114,0.2543859649122807,0.80930848,9.6
115,house,C001090,Cartwright,PA,17,D,95,0.30526315789473685,0.85512427,10.1
116,house,C001090,Cartwright,PA,8,D,19,0,0.58022952,9.6
0,house,C001091,Castro,TX,20,Democrat,116,0.15517241379310345,0.20610913,-26.7
115,house,C001091,Castro,TX,20,D,94,0.19148936170212766,0.25401441,-26.7
116,house,C001091,Castro,TX,20,D,22,0,0.00142294,-26.7
0,house,C001092,Collins,NY,27,Republican,116,0.9913793103448276,0.9365707,24.5
115,house,C001092,Collins,NY,27,R,94,0.9893617021276596,0.93721435,24.5
116,house,C001092,Collins,NY,27,R,22,1,0.93382053,24.5
0,house,C001093,Collins,GA,9,Republican,115,0.9739130434782609,0.95535685,58.5
115,house,C001093,Collins,GA,9,R,93,0.978494623655914,0.94814092,58.5
116,house,C001093,Collins,GA,9,R,22,0.9545454545454546,0.98586058,58.5
0,house,C001094,Cook,CA,8,Republican,117,0.9743589743589743,0.88302932,15.1
115,house,C001094,Cook,CA,8,R,96,0.9791666666666666,0.89971389,15.1
116,house,C001094,Cook,CA,8,R,21,0.9523809523809523,0.80675698,15.1
115,house,C001096,Cramer,ND,0,R,91,0.989010989010989,0.95118014,35.72888837
0,house,C001097,Cárdenas,CA,29,Democrat,114,0.14912280701754385,0.1336072,-60.9
115,house,C001097,Cárdenas,CA,29,D,92,0.18478260869565216,0.16555638,-60.9
116,house,C001097,Cárdenas,CA,29,D,22,0,1.52e-6,-60.9
0,house,C001101,Clark,MA,5,Democrat,111,0.13513513513513514,0.16608233,-43.6
115,house,C001101,Clark,MA,5,D,90,0.16666666666666666,0.20482679,-43.6
116,house,C001101,Clark,MA,5,D,21,0,3.464e-5,-43.6
0,house,C001103,Carter,GA,1,Republican,112,0.9732142857142857,0.88220308,15.5
115,house,C001103,Carter,GA,1,R,90,0.9666666666666667,0.89975815,15.5
116,house,C001103,Carter,GA,1,R,22,1,0.81038688,15.5
0,house,C001105,Comstock,VA,10,Republican,93,0.978494623655914,0.47725594,-10
115,house,C001105,Comstock,VA,10,R,93,0.978494623655914,0.47725594,-10
0,house,C001106,Costello,PA,6,Republican,92,0.9565217391304348,0.69185928,-0.6
115,house,C001106,Costello,PA,6,R,92,0.9565217391304348,0.69185928,-0.6
0,house,C001107,Curbelo,FL,26,Republican,91,0.8241758241758241,0.37158865,-16.3
115,house,C001107,Curbelo,FL,26,R,91,0.8241758241758241,0.37158865,-16.3
0,house,C001108,Comer,KY,1,Republican,118,0.940677966101695,0.95555164,48.5
115,house,C001108,Comer,KY,1,R,96,0.9270833333333334,0.95021452,48.5
116,house,C001108,Comer,KY,1,R,22,1,0.97884088,48.5
0,house,C001109,Cheney,WY,0,Republican,118,0.9576271186440678,0.95546693,46.29527573
115,house,C001109,Cheney,WY,0,R,96,0.9583333333333334,0.9505216,46.29527573
116,house,C001109,Cheney,WY,0,R,22,0.9545454545454546,0.97704653,46.29527573
0,house,C001110,Correa,CA,46,Democrat,118,0.3050847457627119,0.16940272,-38.4
115,house,C001110,Correa,CA,46,D,96,0.375,0.2081919,-38.4
116,house,C001110,Correa,CA,46,D,22,0,1.4081e-4,-38.4
0,house,C001111,Crist,FL,13,Democrat,115,0.3391304347826087,0.52420447,-3.2
115,house,C001111,Crist,FL,13,D,93,0.41935483870967744,0.62652837,-3.2
116,house,C001111,Crist,FL,13,D,22,0,0.09165343,-3.2
0,house,C001112,Carbajal,CA,24,Democrat,114,0.2982456140350877,0.25991903,-20.2
115,house,C001112,Carbajal,CA,24,D,92,0.3695652173913043,0.32095168,-20.2
116,house,C001112,Carbajal,CA,24,D,22,0,0.00469156,-20.2
0,house,C001114,Curtis,UT,3,Republican,67,0.9552238805970149,0.92928178,23.9
115,house,C001114,Curtis,UT,3,R,45,0.9555555555555556,0.92881366,23.9
116,house,C001114,Curtis,UT,3,R,22,0.9545454545454546,0.9302393,23.9
0,house,C001115,Cloud,TX,27,Republican,33,0.8787878787878788,0.94040435,23.6
115,house,C001115,Cloud,TX,27,R,11,0.9090909090909091,0.96460073,23.6
116,house,C001115,Cloud,TX,27,R,22,0.8636363636363636,0.92830617,23.6
0,house,C001117,Casten,IL,6,Democrat,22,0,0.04596966,-7
116,house,C001117,Casten,IL,6,D,22,0,0.04596966,-7
0,house,C001118,Cline,VA,6,Republican,22,0.9545454545454546,0.93547985,24.8
116,house,C001118,Cline,VA,6,R,22,0.9545454545454546,0.93547985,24.8
0,house,C001119,Craig,MN,2,Democrat,22,0,0.19995466,1.2
116,house,C001119,Craig,MN,2,D,22,0,0.19995466,1.2
0,house,C001120,Crenshaw,TX,2,Republican,22,0.9545454545454546,0.57164392,9.3
116,house,C001120,Crenshaw,TX,2,R,22,0.9545454545454546,0.57164392,9.3
0,house,C001121,Crow,CO,6,Democrat,22,0,0.03284136,-8.9
116,house,C001121,Crow,CO,6,D,22,0,0.03284136,-8.9
0,house,C001122,Cunningham,SC,1,Democrat,22,0,0.73561823,13.1
116,house,C001122,Cunningham,SC,1,D,22,0,0.73561823,13.1
0,house,C001123,Cisneros,CA,39,Democrat,22,0,0.03461536,-8.6
116,house,C001123,Cisneros,CA,39,D,22,0,0.03461536,-8.6
0,house,C001124,Cox,CA,21,Democrat,22,0,0.01060931,-15.5
116,house,C001124,Cox,CA,21,D,22,0,0.01060931,-15.5
0,house,D000096,Davis,IL,7,Democrat,106,0.10377358490566038,0.09180314,-78.2
115,house,D000096,Davis,IL,7,D,84,0.13095238095238096,0.11584681,-78.2
116,house,D000096,Davis,IL,7,D,22,0,6e-8,-78.2
0,house,D000191,DeFazio,OR,4,Democrat,112,0.19642857142857142,0.58713354,-0.1
115,house,D000191,DeFazio,OR,4,D,91,0.24175824175824176,0.68581069,-0.1
116,house,D000191,DeFazio,OR,4,D,21,0,0.15953256,-0.1
0,house,D000197,DeGette,CO,1,Democrat,112,0.10714285714285714,0.12975168,-45.8
115,house,D000197,DeGette,CO,1,D,90,0.13333333333333333,0.16146126,-45.8
116,house,D000197,DeGette,CO,1,D,22,0,3.071e-5,-45.8
0,house,D000216,DeLauro,CT,3,Democrat,112,0.16964285714285715,0.31441687,-15.5
115,house,D000216,DeLauro,CT,3,D,92,0.20652173913043478,0.38094163,-15.5
116,house,D000216,DeLauro,CT,3,D,20,0,0.00840299,-15.5
0,house,D000399,Doggett,TX,35,Democrat,117,0.1282051282051282,0.18607084,-33.6
115,house,D000399,Doggett,TX,35,D,96,0.15625,0.22669184,-33.6
116,house,D000399,Doggett,TX,35,D,21,0,3.7483e-4,-33.6
0,house,D000482,Doyle,PA,18,Democrat,115,0.19130434782608696,0.17929378,-27.5
115,house,D000482,Doyle,PA,14,D,94,0.23404255319148937,0.2190927,-35.5
116,house,D000482,Doyle,PA,18,D,21,0,0.00114624,-27.5
0,house,D000533,Duncan,TN,2,Republican,95,0.8,0.94941568,35.4
115,house,D000533,Duncan,TN,2,R,95,0.8,0.94941568,35.4
0,house,D000598,Davis,CA,53,Democrat,117,0.17094017094017094,0.17960551,-34.9
115,house,D000598,Davis,CA,53,D,95,0.21052631578947367,0.22113211,-34.9
116,house,D000598,Davis,CA,53,D,22,0,2.8611e-4,-34.9
0,house,D000600,Diaz-Balart,FL,25,Republican,114,0.9385964912280702,0.63586791,1.8
115,house,D000600,Diaz-Balart,FL,25,R,93,0.946236559139785,0.72943294,1.8
116,house,D000600,Diaz-Balart,FL,25,R,21,0.9047619047619048,0.22150848,1.8
0,house,D000604,Dent,PA,15,Republican,71,0.9295774647887324,0.81930283,7.6
115,house,D000604,Dent,PA,15,R,71,0.9295774647887324,0.81930283,7.6
0,house,D000610,Deutch,FL,22,Democrat,114,0.16666666666666666,0.29881593,-15.8
115,house,D000610,Deutch,FL,22,D,92,0.20652173913043478,0.36786158,-15.8
116,house,D000610,Deutch,FL,22,D,22,0,0.01007956,-15.8
0,house,D000612,Denham,CA,10,Republican,95,0.9789473684210527,0.62855983,-3
115,house,D000612,Denham,CA,10,R,95,0.9789473684210527,0.62855983,-3
0,house,D000614,Duffy,WI,7,Republican,114,0.9385964912280702,0.92248876,20.5
115,house,D000614,Duffy,WI,7,R,93,0.9354838709677419,0.92736971,20.5
116,house,D000614,Duffy,WI,7,R,21,0.9523809523809523,0.90087316,20.5
0,house,D000615,Duncan,SC,3,Republican,115,0.9130434782608695,0.95487868,38
115,house,D000615,Duncan,SC,3,R,93,0.8924731182795699,0.95159438,38
116,house,D000615,Duncan,SC,3,R,22,1,0.96876231,38
0,house,D000616,DesJarlais,TN,4,Republican,116,0.9310344827586207,0.95402468,41.2
115,house,D000616,DesJarlais,TN,4,R,96,0.9166666666666666,0.95078451,41.2
116,house,D000616,DesJarlais,TN,4,R,20,1,0.96957745,41.2
0,house,D000617,DelBene,WA,1,Democrat,117,0.18803418803418803,0.30290428,-16.3
115,house,D000617,DelBene,WA,1,D,95,0.23157894736842105,0.37090773,-16.3
