congress,chamber,session,roll_call,bill,date,democratic,description,independent,question,question_text,republican,result,source,time,total,url,vote_type,vote_uri
107,House,1,1,"{'bill_id': 'quorum-107', 'number': 'QUORUM', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2001-01-03,"{'yes': 0, 'no': 0, 'present': 208, 'not_voting': 3, 'majority_position': 'None'}",,"{'yes': 0, 'no': 0, 'present': 2, 'not_voting': 0}",Call By States,,"{'yes': 0, 'no': 0, 'present': 219, 'not_voting': 2, 'majority_position': 'None'}",Passed,http://clerk.house.gov/evs/2001/roll001.xml,12:36:00,"{'yes': 0, 'no': 0, 'present': 429, 'not_voting': 5}",http://clerk.house.gov/evs/2001/roll001.xml,QUORUM,https://api.propublica.org/congress/v1/107/house/sessions/1/votes/1.json
107,House,1,2,"{'bill_id': '-107', 'number': '', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2001-01-03,"{'Gephardt': 205, 'Present': 1, 'Not Voting': 3, 'Murtha': 1, 'Hastert': 1}",,"{'Hastert': 1, 'Gephardt': 1}",ELECTION OF SPEAKER,,"{'Hastert': 220, 'Present': 1}",Hastert,http://clerk.house.gov/evs/2001/roll002.xml,15:55:00,"{'Gephardt': 206, 'Hastert': 222, 'Present': 2, 'Not Voting': 3, 'Murtha': 1, 'Vacant': 1}",http://clerk.house.gov/evs/2001/roll002.xml,RECORDED VOTE,https://api.propublica.org/congress/v1/107/house/sessions/1/votes/2.json
107,House,1,3,"{'bill_id': 'hres5-107', 'number': 'H.RES.5', 'sponsor_id': 'A000217', 'api_uri': 'https://api.propublica.org/congress/v1/107/bills/hres5.json', 'title': 'Adopting rules for the One Hundred Seventh Congress.', 'latest_action': 'Motion to reconsider laid on the table Agreed to without objection.'}",2001-01-03,"{'yes': 198, 'no': 2, 'present': 0, 'not_voting': 8, 'majority_position': 'Yes'}",Adopting Rules for the One Hundred Seventh Congress,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On Motion to Commit,,"{'yes': 0, 'no': 210, 'present': 0, 'not_voting': 10, 'majority_position': 'No'}",Failed,http://clerk.house.gov/evs/2001/roll003.xml,15:55:00,"{'yes': 199, 'no': 213, 'present': 0, 'not_voting': 18}",http://clerk.house.gov/evs/2001/roll003.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/107/house/sessions/1/votes/3.json
107,House,1,4,"{'bill_id': 'hres5-107', 'number': 'H.RES.5', 'sponsor_id': 'A000217', 'api_uri': 'https://api.propublica.org/congress/v1/107/bills/hres5.json', 'title': 'Adopting rules for the One Hundred Seventh Congress.', 'latest_action': 'Motion to reconsider laid on the table Agreed to without objection.'}",2001-01-03,"{'yes': 1, 'no': 205, 'present': 0, 'not_voting': 2, 'majority_position': 'No'}",Adopting Rules for the One Hundred Seventh Congress,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On Agreeing to the Resolution,,"{'yes': 213, 'no': 0, 'present': 0, 'not_voting': 7, 'majority_position': 'Yes'}",Passed,http://clerk.house.gov/evs/2001/roll004.xml,16:15:00,"{'yes': 215, 'no': 206, 'present': 0, 'not_voting': 9}",http://clerk.house.gov/evs/2001/roll004.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/107/house/sessions/1/votes/4.json
107,House,1,5,"{'bill_id': 'hr93-107', 'number': 'H.R.93', 'sponsor_id': 'G000021', 'api_uri': 'https://api.propublica.org/congress/v1/107/bills/hr93.json', 'title': 'To amend title 5, United States Code, to provide that the mandatory separation age for Federal firefighters be made the same as the age that applies with respect to Federal law enforcement officers.', 'latest_action': 'Became Public Law No: 107-27.'}",2001-01-30,"{'yes': 194, 'no': 0, 'present': 0, 'not_voting': 16, 'majority_position': 'Yes'}",Federal Firefighters Retirement Age Fairness Act,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}","On Motion to Supend the Rules and Pass, as Amended",,"{'yes': 205, 'no': 0, 'present': 0, 'not_voting': 15, 'majority_position': 'Yes'}",Passed,http://clerk.house.gov/evs/2001/roll005.xml,18:41:00,"{'yes': 401, 'no': 0, 'present': 0, 'not_voting': 31}",http://clerk.house.gov/evs/2001/roll005.xml,2/3 YEA-AND-NAY,https://api.propublica.org/congress/v1/107/house/sessions/1/votes/5.json
107,House,1,6,"{'bill_id': 'hconres14-107', 'number': 'H.CON.RES.14', 'sponsor_id': 'N000081', 'api_uri': 'https://api.propublica.org/congress/v1/107/bills/hconres14.json', 'title': 'Permitting the use of the rotunda of the Capitol for a ceremony as part of the commemoration of the days of remembrance of victims of the Holocaust.', 'latest_action': 'Motion to reconsider laid on the table Agreed to without objection.'}",2001-01-31,"{'yes': 196, 'no': 0, 'present': 0, 'not_voting': 15, 'majority_position': 'Yes'}",Permitting the Use of the Rotunda of the Capitol for a Ceremony as part of the Commemoration of the Days of Remembrance of Victims of the Holocaust,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On Motion to Suspend the Rules and Agree,,"{'yes': 209, 'no': 0, 'present': 0, 'not_voting': 11, 'majority_position': 'Yes'}",Passed,http://clerk.house.gov/evs/2001/roll006.xml,11:55:00,"{'yes': 407, 'no': 0, 'present': 0, 'not_voting': 26}",http://clerk.house.gov/evs/2001/roll006.xml,2/3 YEA-AND-NAY,https://api.propublica.org/congress/v1/107/house/sessions/1/votes/6.json
107,House,1,7,"{'bill_id': 'hconres15-107', 'number': 'H.CON.RES.15', 'sponsor_id': 'R000487', 'api_uri': 'https://api.propublica.org/congress/v1/107/bills/hconres15.json', 'title': 'Expressing sympathy for the victims of the devastating earthquake that struck India on January 26, 2001, and support for ongoing aid efforts.', 'latest_action': 'Received in the Senate and referred to the Committee on Foreign Relations.'}",2001-01-31,"{'yes': 196, 'no': 0, 'present': 0, 'not_voting': 15, 'majority_position': 'Yes'}",Expressing Sympathy for the Victims of the Devastating Earthquake that Struck India,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On Motion to Suspend the Rules and Agree,,"{'yes': 208, 'no': 1, 'present': 0, 'not_voting': 11, 'majority_position': 'Yes'}",Passed,http://clerk.house.gov/evs/2001/roll007.xml,12:05:00,"{'yes': 406, 'no': 1, 'present': 0, 'not_voting': 26}",http://clerk.house.gov/evs/2001/roll007.xml,2/3 YEA-AND-NAY,https://api.propublica.org/congress/v1/107/house/sessions/1/votes/7.json
107,House,1,8,"{'bill_id': 'journal-107', 'number': 'JOURNAL', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2001-01-31,"{'yes': 181, 'no': 15, 'present': 0, 'not_voting': 15, 'majority_position': 'Yes'}",,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 1}",On Approving the Journal,,"{'yes': 200, 'no': 4, 'present': 0, 'not_voting': 16, 'majority_position': 'Yes'}",Passed,http://clerk.house.gov/evs/2001/roll008.xml,12:15:00,"{'yes': 382, 'no': 19, 'present': 0, 'not_voting': 32}",http://clerk.house.gov/evs/2001/roll008.xml,RECORDED VOTE,https://api.propublica.org/congress/v1/107/house/sessions/1/votes/8.json
107,House,1,9,"{'bill_id': 'hjres7-107', 'number': 'H.J.RES.7', 'sponsor_id': 'C000830', 'api_uri': 'https://api.propublica.org/congress/v1/107/bills/hjres7.json', 'title': 'Recognizing the 90th birthday of Ronald Reagan.', 'latest_action': 'Became Public Law No: 107-1.'}",2001-02-06,"{'yes': 199, 'no': 0, 'present': 7, 'not_voting': 5, 'majority_position': 'Yes'}",Recognizing the 90th birthday of Ronald Reagan,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On Motion to Suspend the Rules and Pass,,"{'yes': 209, 'no': 0, 'present': 0, 'not_voting': 11, 'majority_position': 'Yes'}",Passed,http://clerk.house.gov/evs/2001/roll009.xml,18:27:00,"{'yes': 410, 'no': 0, 'present': 7, 'not_voting': 16}",http://clerk.house.gov/evs/2001/roll009.xml,2/3 YEA-AND-NAY,https://api.propublica.org/congress/v1/107/house/sessions/1/votes/9.json
107,House,1,10,"{'bill_id': 'hres28-107', 'number': 'H.RES.28', 'sponsor_id': 'S000112', 'api_uri': 'https://api.propublica.org/congress/v1/107/bills/hres28.json', 'title': 'Honoring the contributions of Catholic schools.', 'latest_action': 'Motion to reconsider laid on the table Agreed to without objection.'}",2001-02-06,"{'yes': 204, 'no': 0, 'present': 0, 'not_voting': 7, 'majority_position': 'Yes'}",Honoring the contributions of Catholic schools,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On Motion to Suspend the Rules and Agree,,"{'yes': 206, 'no': 0, 'present': 1, 'not_voting': 12, 'majority_position': 'Yes'}",Passed,http://clerk.house.gov/evs/2001/roll010.xml,18:39:00,"{'yes': 412, 'no': 0, 'present': 1, 'not_voting': 19}",http://clerk.house.gov/evs/2001/roll010.xml,2/3 YEA-AND-NAY,https://api.propublica.org/congress/v1/107/house/sessions/1/votes/10.json
